id,date,tlt,ud,pmt,wp,a,p,q,oee,rate,wf,uf,rework,give,line,unit,std,chk,Remark,waste_film_remark,waste_pellet_remark
35962,2023-05-23,8,0,5400,0.575,100,56.25,99.57,56.01,16.88,3,551,0,25.114,A,PP3,30,0,"เครื่อง Bagging มีปัญหา Sucker ดูดปากถุงไม่ได้และปล่อยเม็ดทิ้ง
ปรับเครื่อง Rate bag out  16 MT./HR ยังไม่หาย",,
35963,2023-05-23,11,0,11940,0.05,100,90.45,99.98,90.43,27.14,1,1223,0,25.115,B,PP3,30,0,,,
35964,2023-05-23,11.75,0,12883,0.002,100,91.37,100,91.37,27.41,1.3,1254,0,25.116,C,PPE,30,0,,,
35965,2023-05-23,11.75,0,12545,0.002,100,88.97,100,88.97,26.69,1.1,1149,0,25.116,D,PPE,30,0,,,
35966,2023-05-24,6.42,0,10333,0,100,89.42,100,89.42,40.24,0.8,1036,0,25.118,A,PP12,45,1,,,
35967,2023-05-24,9.88,0,10396,0,100,87.69,100,87.69,26.31,0.8,1025,0,25.116,C,PP12,30,1,,,
35968,2023-05-24,10,0,8651,0.05,100,72.09,99.98,72.08,21.63,4.3,864,0,25.115,A,PP3,30,0,"เครื่อง Bagging มีปัญหา Sucker ดูดปากถุงไม่ได้เครื่องปล่อยถุงทิ้ง
ปรับเครื่อง Rate bag out  15 MT./Hr",,
35969,2023-05-24,10,0,10631,0,100,88.59,100,88.59,26.58,1.2,1061,0,25.115,B,PP3,30,0,,,
35970,2023-05-24,13.92,0,14925,0,100,89.35,100,89.35,26.8,1.3,1349,0,25.115,C,PPE,30,0,,,
35971,2023-05-24,12.58,0,13720,0,100,90.89,100,90.89,27.27,1.1,1346,0,25.115,D,PPE,30,0,,,
35972,2023-05-25,6,1,5205,0,83.33,86.75,100,72.29,26.02,0.4,521,0,25.115,C,PP12,30,1,"Bagging C : 14.00 - 17.00 MM แก้ไข support ยึดกระบอกสูบ holding tong ชำรุด				
และ nut หักคา / เปลี่ยน bolt ใหม่ เสร็จแล้ว",,
35973,2023-05-25,6.58,0,10820,0,100,91.35,100,91.35,41.11,0.8,1055,0,25.118,A,PP12,45,1,,,
35974,2023-05-25,7.08,0,8041,0,100,94.64,100,94.64,28.39,0.9,829,0,25.115,A,PP3,30,0,,รอยต่อ,
35975,2023-05-25,7.08,0,7680,0,100,90.4,100,90.4,27.12,0.9,745,0,25.115,B,PP3,30,0,,รอยต่อ,
35976,2023-05-25,7.92,0,8680,0,100,91.33,100,91.33,27.4,0.6,800,0,25.115,C,PPE,30,0,,รอยต่อ,
35977,2023-05-25,7.83,0,8588,0,100,91.4,100,91.4,27.42,0.6,799,0,25.115,D,PPE,30,0,,รอยต่อ,
35978,2023-05-26,2.92,0,4897,0,100,93.17,100,93.17,41.93,1,479,0,25.12,A,PP12,45,1,,,
35979,2023-05-26,5.42,0,5915,0,100,90.94,100,90.94,27.28,0.4,541,0,25.114,C,PP12,30,1,,,
35980,2023-05-26,4.5,0,5325,0,100,98.61,100,98.61,29.58,0.7,470,0,25.115,A,PP3,30,0,,รอยต่อ,
35981,2023-05-26,5.08,0,5360,0,100,87.93,100,87.93,26.38,6,525,0,25.115,B,PP3,30,0,,รอยต่อ,
35982,2023-05-26,9.58,1,9640,0,89.56,93.63,100,83.86,28.09,1.6,938,0,25.116,C,PPE,30,0,"16.30-17.30 พบว่าบูธยางรองของก้านยึด Support motor belt inffed หลุดหาย ทำให้ตัว Motor 
โยกคลอนได้มากออก Noti. 10795629 ให้ MM แก้ไขหาบูธยางมาใส่ให้ใหม่",รอยต่อ,
35983,2023-05-26,7.67,0,8600,0,100,93.44,100,93.44,28.03,1.4,836,0,25.115,D,PPE,30,0,,รอยต่อ,
35984,2023-05-27,9.33,0,9916,0,100,88.57,100,88.57,26.57,1.1,1033,0,25.116,C,PP12,30,1,,,
35985,2023-05-27,5.17,2,5000,0,61.32,87.63,100,53.73,39.43,0.4,434,0,25.12,A,PP12,45,1,เครื่องfault starting condition layer forming area not clear,,
35986,2023-05-27,5.5,0,6310,0,100,95.61,100,95.61,28.68,0.4,594,0.075,25.115,A,HDPE,30,0,,,
35987,2023-05-27,8.25,0,8880,0,100,89.7,100,89.7,26.91,1.9,886,0,25.114,A,PP3,30,1,,,
35988,2023-05-27,8.25,0,8937,0,100,90.27,100,90.27,27.08,0.9,886,0,25.115,B,PP3,30,1,,,
